participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.treatment,participant.selected_round,participant.stopped_at,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.name,session.config.participation_fee,session.num_roadblockers,session.treatment,activism.1.player.id_in_group,activism.1.player.role,activism.1.player.payoff,activism.1.player.effort_score,activism.1.player.wage,activism.1.player.contribution,activism.1.player.actual_effort_time,activism.1.player.chose_activism,activism.1.player.round_payoff,activism.1.player.seat_number,activism.1.group.id_in_subsession,activism.1.group.num_activists,activism.1.group.num_roadblockers,activism.1.group.treatment,activism.1.group.total_contribution,activism.1.subsession.round_number,activism.2.player.id_in_group,activism.2.player.role,activism.2.player.payoff,activism.2.player.effort_score,activism.2.player.wage,activism.2.player.contribution,activism.2.player.actual_effort_time,activism.2.player.chose_activism,activism.2.player.round_payoff,activism.2.player.seat_number,activism.2.group.id_in_subsession,activism.2.group.num_activists,activism.2.group.num_roadblockers,activism.2.group.treatment,activism.2.group.total_contribution,activism.2.subsession.round_number,activism.3.player.id_in_group,activism.3.player.role,activism.3.player.payoff,activism.3.player.effort_score,activism.3.player.wage,activism.3.player.contribution,activism.3.player.actual_effort_time,activism.3.player.chose_activism,activism.3.player.round_payoff,activism.3.player.seat_number,activism.3.group.id_in_subsession,activism.3.group.num_activists,activism.3.group.num_roadblockers,activism.3.group.treatment,activism.3.group.total_contribution,activism.3.subsession.round_number,activism.4.player.id_in_group,activism.4.player.role,activism.4.player.payoff,activism.4.player.effort_score,activism.4.player.wage,activism.4.player.contribution,activism.4.player.actual_effort_time,activism.4.player.chose_activism,activism.4.player.round_payoff,activism.4.player.seat_number,activism.4.group.id_in_subsession,activism.4.group.num_activists,activism.4.group.num_roadblockers,activism.4.group.treatment,activism.4.group.total_contribution,activism.4.subsession.round_number,activism.5.player.id_in_group,activism.5.player.role,activism.5.player.payoff,activism.5.player.effort_score,activism.5.player.wage,activism.5.player.contribution,activism.5.player.actual_effort_time,activism.5.player.chose_activism,activism.5.player.round_payoff,activism.5.player.seat_number,activism.5.group.id_in_subsession,activism.5.group.num_activists,activism.5.group.num_roadblockers,activism.5.group.treatment,activism.5.group.total_contribution,activism.5.subsession.round_number,activism.6.player.id_in_group,activism.6.player.role,activism.6.player.payoff,activism.6.player.effort_score,activism.6.player.wage,activism.6.player.contribution,activism.6.player.actual_effort_time,activism.6.player.chose_activism,activism.6.player.round_payoff,activism.6.player.seat_number,activism.6.group.id_in_subsession,activism.6.group.num_activists,activism.6.group.num_roadblockers,activism.6.group.treatment,activism.6.group.total_contribution,activism.6.subsession.round_number,activism.7.player.id_in_group,activism.7.player.role,activism.7.player.payoff,activism.7.player.effort_score,activism.7.player.wage,activism.7.player.contribution,activism.7.player.actual_effort_time,activism.7.player.chose_activism,activism.7.player.round_payoff,activism.7.player.seat_number,activism.7.group.id_in_subsession,activism.7.group.num_activists,activism.7.group.num_roadblockers,activism.7.group.treatment,activism.7.group.total_contribution,activism.7.subsession.round_number,activism.8.player.id_in_group,activism.8.player.role,activism.8.player.payoff,activism.8.player.effort_score,activism.8.player.wage,activism.8.player.contribution,activism.8.player.actual_effort_time,activism.8.player.chose_activism,activism.8.player.round_payoff,activism.8.player.seat_number,activism.8.group.id_in_subsession,activism.8.group.num_activists,activism.8.group.num_roadblockers,activism.8.group.treatment,activism.8.group.total_contribution,activism.8.subsession.round_number,activism.9.player.id_in_group,activism.9.player.role,activism.9.player.payoff,activism.9.player.effort_score,activism.9.player.wage,activism.9.player.contribution,activism.9.player.actual_effort_time,activism.9.player.chose_activism,activism.9.player.round_payoff,activism.9.player.seat_number,activism.9.group.id_in_subsession,activism.9.group.num_activists,activism.9.group.num_roadblockers,activism.9.group.treatment,activism.9.group.total_contribution,activism.9.subsession.round_number,activism.10.player.id_in_group,activism.10.player.role,activism.10.player.payoff,activism.10.player.effort_score,activism.10.player.wage,activism.10.player.contribution,activism.10.player.actual_effort_time,activism.10.player.chose_activism,activism.10.player.round_payoff,activism.10.player.seat_number,activism.10.group.id_in_subsession,activism.10.group.num_activists,activism.10.group.num_roadblockers,activism.10.group.treatment,activism.10.group.total_contribution,activism.10.subsession.round_number,activism.11.player.id_in_group,activism.11.player.role,activism.11.player.payoff,activism.11.player.effort_score,activism.11.player.wage,activism.11.player.contribution,activism.11.player.actual_effort_time,activism.11.player.chose_activism,activism.11.player.round_payoff,activism.11.player.seat_number,activism.11.group.id_in_subsession,activism.11.group.num_activists,activism.11.group.num_roadblockers,activism.11.group.treatment,activism.11.group.total_contribution,activism.11.subsession.round_number,activism.12.player.id_in_group,activism.12.player.role,activism.12.player.payoff,activism.12.player.effort_score,activism.12.player.wage,activism.12.player.contribution,activism.12.player.actual_effort_time,activism.12.player.chose_activism,activism.12.player.round_payoff,activism.12.player.seat_number,activism.12.group.id_in_subsession,activism.12.group.num_activists,activism.12.group.num_roadblockers,activism.12.group.treatment,activism.12.group.total_contribution,activism.12.subsession.round_number,activism.13.player.id_in_group,activism.13.player.role,activism.13.player.payoff,activism.13.player.effort_score,activism.13.player.wage,activism.13.player.contribution,activism.13.player.actual_effort_time,activism.13.player.chose_activism,activism.13.player.round_payoff,activism.13.player.seat_number,activism.13.group.id_in_subsession,activism.13.group.num_activists,activism.13.group.num_roadblockers,activism.13.group.treatment,activism.13.group.total_contribution,activism.13.subsession.round_number,activism.14.player.id_in_group,activism.14.player.role,activism.14.player.payoff,activism.14.player.effort_score,activism.14.player.wage,activism.14.player.contribution,activism.14.player.actual_effort_time,activism.14.player.chose_activism,activism.14.player.round_payoff,activism.14.player.seat_number,activism.14.group.id_in_subsession,activism.14.group.num_activists,activism.14.group.num_roadblockers,activism.14.group.treatment,activism.14.group.total_contribution,activism.14.subsession.round_number,questionnaire.1.player.id_in_group,questionnaire.1.player.role,questionnaire.1.player.payoff,questionnaire.1.player.q1_support,questionnaire.1.player.q1_pressure,questionnaire.1.player.q1_convincing,questionnaire.1.player.q1_too_extreme,questionnaire.1.player.q1_no_earnings_effect,questionnaire.1.player.q1_reciprocate,questionnaire.1.player.q1_autonomy,questionnaire.1.player.q1_motivation_other,questionnaire.1.player.q2_activism_choice,questionnaire.1.player.q3_personal_cost,questionnaire.1.player.q4_cost_to_others,questionnaire.1.player.q5_extremity,questionnaire.1.player.q6_legitimacy,questionnaire.1.player.q7_social_id,questionnaire.1.player.q8_compassion,questionnaire.1.player.q8_sympathy,questionnaire.1.player.q8_annoyance,questionnaire.1.group.id_in_subsession,questionnaire.1.subsession.round_number
11,5qny78h8,6,0,143,143,questionnaire,ThankYou,2026-06-09 13:35:27.954087,1,,,15.9,petition,14,1781013396.7806003,tdmddbpq,,,,,0,activism_pet_first,5.0,,,3,,0.0,8,80.0,40.0,45,,96.0,6,4,,,petition,140.0,1,3,,0.0,10,100.0,80.0,45,,96.0,,4,,,petition,190.0,2,3,,0.0,7,70.0,35.0,45,,83.0,,4,,,petition,120.0,3,3,,0.0,7,70.0,40.0,45,,86.0,,4,,,petition,140.0,4,3,,0.0,8,80.0,50.0,45,,84.0,,4,,,petition,135.0,5,3,,0.0,8,80.0,30.0,45,,82.0,,4,,,petition,80.0,6,3,,0.0,9,90.0,30.0,45,,94.0,,4,,,petition,85.0,7,3,,0.0,10,100.0,65.0,45,1,89.0,,4,4,0,petition,135.0,8,3,,0.0,10,100.0,40.0,45,1,102.0,,4,4,0,petition,105.0,9,3,,0.0,10,100.0,10.0,45,1,122.0,,4,4,0,petition,80.0,10,3,,0.0,10,100.0,20.0,45,1,108.0,,4,3,0,petition,70.0,11,3,,0.0,11,110.0,15.0,45,1,121.0,,4,3,0,petition,65.0,12,3,,0.0,6,60.0,10.0,45,1,90.0,,4,4,0,petition,100.0,13,3,,0.0,8,80.0,20.0,45,1,106.0,,4,4,0,petition,115.0,14,11,,0.0,1,0,0,0,0,1,0,,Petition (0 cost to you),1,2,3,4,3,3,3,4,1,1
12,hd9e5rlc,17,0,58,143,activism,WaitForResults,2026-06-09 13:35:28.034163,1,,,0.0,demonstration,,,tdmddbpq,,,,,0,activism_pet_first,5.0,,,3,,0.0,10,100.0,30.0,45,,98.0,17,2,,,demonstration,70.0,1,3,,0.0,11,110.0,30.0,45,,104.0,,2,,,demonstration,60.0,2,3,,0.0,13,130.0,30.0,45,,120.0,,2,,,demonstration,50.0,3,3,,0.0,11,110.0,20.0,45,,106.0,,2,,,demonstration,40.0,4,3,,0.0,10,100.0,10.0,45,,106.0,,2,,,demonstration,40.0,5,3,,0.0,10,100.0,10.0,45,,,,2,,,demonstration,,6,3,,0.0,,,,45,,,,2,,,demonstration,,7,3,,0.0,,,,,,,,2,,,demonstration,,8,3,,0.0,,,,,,,,2,,,demonstration,,9,3,,0.0,,,,,,,,2,,,demonstration,,10,3,,0.0,,,,,,,,2,,,demonstration,,11,3,,0.0,,,,,,,,2,,,demonstration,,12,3,,0.0,,,,,,,,2,,,demonstration,,13,3,,0.0,,,,,,,,2,,,demonstration,,14,12,,0.0,,,,,,,,,,,,,,,,,,1,1
13,evnisgib,26,0,143,143,questionnaire,ThankYou,2026-06-09 13:35:28.268118,1,,,24.0,petition,9,1781013350.3182242,tdmddbpq,,,,,0,activism_pet_first,5.0,,,4,,0.0,12,120.0,120.0,45,,61.2,26,1,,,petition,153.0,1,4,,0.0,15,150.0,0.0,45,,158.0,,1,,,petition,20.0,2,4,,0.0,13,130.0,0.0,45,,138.0,,1,,,petition,20.0,3,4,,0.0,10,100.0,0.0,45,,100.0,,1,,,petition,0.0,4,4,,0.0,14,140.0,0.0,45,,140.0,,1,,,petition,0.0,5,4,,0.0,13,130.0,0.0,45,,130.0,,1,,,petition,0.0,6,4,,0.0,12,120.0,0.0,45,,120.0,,1,,,petition,0.0,7,4,,0.0,15,150.0,125.0,45,1,91.0,,1,3,0,petition,165.0,8,4,,0.0,13,130.0,0.0,45,0,160.0,,1,3,0,petition,75.0,9,4,,0.0,15,150.0,0.0,45,0,176.0,,1,3,0,petition,65.0,10,4,,0.0,15,150.0,0.0,45,0,178.0,,1,3,0,petition,70.0,11,4,,0.0,15,150.0,0.0,45,0,170.0,,1,3,0,petition,50.0,12,4,,0.0,13,130.0,0.0,45,0,156.0,,1,3,0,petition,65.0,13,4,,0.0,14,140.0,0.0,45,0,148.0,,1,3,0,petition,20.0,14,13,,0.0,0,0,1,0,0,0,0,,Petition (0 cost to you),1,3,1,1,4,2,3,4,1,1
14,s4fdfqql,23,0,78,143,activism,WaitForResults,2026-06-09 13:35:28.285298,1,,,0.0,roadblock,,,tdmddbpq,,,,,0,activism_pet_first,5.0,,,3,,0.0,5,50.0,30.0,45,,86.0,23,6,,,roadblock,165.0,1,3,,0.0,9,90.0,90.0,45,,96.0,,6,,,roadblock,240.0,2,3,,0.0,11,110.0,110.0,45,,94.4,,6,,,roadblock,236.0,3,3,,0.0,11,110.0,100.0,45,,104.0,,6,,,roadblock,235.0,4,3,,0.0,10,100.0,100.0,45,,65.2,,6,,,roadblock,163.0,5,3,,0.0,9,90.0,80.0,45,,88.0,,6,,,roadblock,195.0,6,3,,0.0,9,90.0,70.0,45,,52.0,,6,,,roadblock,80.0,7,3,,0.0,7,70.0,70.0,35,1,,,6,2,2,roadblock,,8,3,,0.0,,,,,,,,6,,,roadblock,,9,3,,0.0,,,,,,,,6,,,roadblock,,10,3,,0.0,,,,,,,,6,,,roadblock,,11,3,,0.0,,,,,,,,6,,,roadblock,,12,3,,0.0,,,,,,,,6,,,roadblock,,13,3,,0.0,,,,,,,,6,,,roadblock,,14,14,,0.0,,,,,,,,,,,,,,,,,,1,1
15,1pjntanf,21,0,143,143,questionnaire,ThankYou,2026-06-09 13:35:28.410784,1,,,18.15,petition,14,1781013452.306654,tdmddbpq,,,,,0,activism_pet_first,5.0,,,2,,0.0,7,70.0,40.0,45,,86.0,21,4,,,petition,140.0,1,2,,0.0,8,80.0,50.0,45,,106.0,,4,,,petition,190.0,2,2,,0.0,6,60.0,30.0,45,,78.0,,4,,,petition,120.0,3,2,,0.0,9,90.0,50.0,45,,96.0,,4,,,petition,140.0,4,2,,0.0,9,90.0,40.0,45,,104.0,,4,,,petition,135.0,5,2,,0.0,8,80.0,20.0,45,,92.0,,4,,,petition,80.0,6,2,,0.0,9,90.0,25.0,45,,99.0,,4,,,petition,85.0,7,2,,0.0,10,100.0,25.0,45,1,129.0,,4,4,0,petition,135.0,8,2,,0.0,10,100.0,35.0,45,1,107.0,,4,4,0,petition,105.0,9,2,,0.0,9,90.0,25.0,45,1,97.0,,4,4,0,petition,80.0,10,2,,0.0,7,70.0,0.0,45,0,98.0,,4,3,0,petition,70.0,11,2,,0.0,6,60.0,20.0,45,1,66.0,,4,3,0,petition,65.0,12,2,,0.0,10,100.0,40.0,45,1,100.0,,4,4,0,petition,100.0,13,2,,0.0,11,110.0,35.0,45,1,121.0,,4,4,0,petition,115.0,14,15,,0.0,1,0,1,0,1,1,0,evidently cooperation would bring us the biggest profit and in the first rounds i wanted to establlish trust by my contributions,Petition (0 cost to you),1,2,1,5,3,4,4,2,1,1
16,f6vny8d1,19,0,143,143,questionnaire,ThankYou,2026-06-09 13:35:28.487907,1,,,10.89,roadblock,13,1781013202.63948,tdmddbpq,,,,,0,activism_pet_first,5.0,,,1,,0.0,8,80.0,10.0,45,,86.4,19,3,,,roadblock,41.0,1,1,,0.0,8,80.0,12.0,45,,85.2,,3,,,roadblock,43.0,2,1,,0.0,11,110.0,16.0,45,,112.8,,3,,,roadblock,47.0,3,1,,0.0,9,90.0,13.0,45,,90.6,,3,,,roadblock,34.0,4,1,,0.0,4,40.0,0.0,45,,52.4,,3,,,roadblock,31.0,5,1,,0.0,8,80.0,2.0,45,,91.2,,3,,,roadblock,33.0,6,1,,0.0,9,90.0,20.0,45,,86.0,,3,,,roadblock,40.0,7,1,,0.0,7,70.0,10.0,35,1,72.4,,3,2,2,roadblock,31.0,8,1,,0.0,7,70.0,9.0,35,1,73.0,,3,2,2,roadblock,30.0,9,1,,0.0,6,60.0,5.0,35,1,65.4,,3,1,1,roadblock,26.0,10,1,,0.0,8,80.0,10.0,35,1,78.4,,3,1,1,roadblock,21.0,11,1,,0.0,7,70.0,5.0,35,1,71.4,,3,1,1,roadblock,16.0,12,1,,0.0,7,70.0,3.0,35,1,72.6,,3,2,2,roadblock,14.0,13,1,,0.0,9,90.0,5.0,35,1,91.4,,3,2,2,roadblock,16.0,14,16,,0.0,1,0,0,0,0,0,0,,Road blocking (Cost: -10 sec to you; -5 sec to others),3,4,3,4,4,4,4,3,1,1
17,ek9i2pnl,10,0,143,143,questionnaire,ThankYou,2026-06-09 13:35:28.505110,1,,,30.0,petition,12,1781013410.766922,tdmddbpq,,,,,0,activism_pet_first,5.0,,,4,,0.0,12,120.0,55.0,45,,113.0,10,7,,,petition,120.0,1,4,,0.0,13,130.0,30.0,45,,140.0,,7,,,petition,100.0,2,4,,0.0,12,120.0,40.0,45,,120.0,,7,,,petition,100.0,3,4,,0.0,11,110.0,10.0,45,,156.0,,7,,,petition,140.0,4,4,,0.0,10,100.0,30.0,45,,158.0,,7,,,petition,220.0,5,4,,0.0,11,110.0,50.0,45,,140.0,,7,,,petition,200.0,6,4,,0.0,11,110.0,50.0,45,,92.0,,7,,,petition,80.0,7,4,,0.0,12,120.0,100.0,45,1,148.0,,7,4,0,petition,320.0,8,4,,0.0,12,120.0,100.0,45,1,160.0,,7,4,0,petition,350.0,9,4,,0.0,12,120.0,100.0,45,1,156.0,,7,4,0,petition,340.0,10,4,,0.0,14,140.0,100.0,45,1,192.0,,7,4,0,petition,380.0,11,4,,0.0,14,140.0,100.0,45,1,200.0,,7,4,0,petition,400.0,12,4,,0.0,15,150.0,100.0,45,1,218.0,,7,4,0,petition,420.0,13,4,,0.0,15,150.0,100.0,45,1,106.0,,7,4,0,petition,140.0,14,17,,0.0,1,0,1,0,0,0,0,,Petition (0 cost to you),1,5,3,5,5,5,5,2,1,1
18,5f0bpqo8,1,0,143,143,questionnaire,ThankYou,2026-06-09 13:35:28.738355,1,,,30.0,petition,12,1781013439.6113646,tdmddbpq,,,,,0,activism_pet_first,5.0,,,2,,0.0,11,110.0,0.0,45,,158.0,1,7,,,petition,120.0,1,2,,0.0,13,130.0,0.0,45,,170.0,,7,,,petition,100.0,2,2,,0.0,13,130.0,30.0,45,,140.0,,7,,,petition,100.0,3,2,,0.0,11,110.0,10.0,45,,156.0,,7,,,petition,140.0,4,2,,0.0,11,110.0,40.0,45,,158.0,,7,,,petition,220.0,5,2,,0.0,10,100.0,40.0,45,,140.0,,7,,,petition,200.0,6,2,,0.0,11,110.0,30.0,45,,112.0,,7,,,petition,80.0,7,2,,0.0,12,120.0,20.0,45,1,228.0,,7,4,0,petition,320.0,8,2,,0.0,11,110.0,50.0,45,1,200.0,,7,4,0,petition,350.0,9,2,,0.0,10,100.0,50.0,45,1,186.0,,7,4,0,petition,340.0,10,2,,0.0,9,90.0,90.0,45,1,152.0,,7,4,0,petition,380.0,11,2,,0.0,12,120.0,80.0,45,1,200.0,,7,4,0,petition,400.0,12,2,,0.0,12,120.0,120.0,45,1,168.0,,7,4,0,petition,420.0,13,2,,0.0,7,70.0,0.0,45,1,126.0,,7,4,0,petition,140.0,14,18,,0.0,0,0,1,0,0,0,0,,None of the above,2,3,4,4,3,3,3,3,1,1
19,fevonr07,4,0,143,143,questionnaire,ThankYou,2026-06-09 13:35:28.813705,1,,,18.75,petition,9,1781013410.087203,tdmddbpq,,,,,0,activism_pet_first,5.0,,,2,,0.0,12,120.0,0.0,45,,181.2,4,1,,,petition,153.0,1,2,,0.0,14,140.0,0.0,45,,148.0,,1,,,petition,20.0,2,2,,0.0,12,120.0,20.0,45,,108.0,,1,,,petition,20.0,3,2,,0.0,13,130.0,0.0,45,,130.0,,1,,,petition,0.0,4,2,,0.0,14,140.0,0.0,45,,140.0,,1,,,petition,0.0,5,2,,0.0,13,130.0,0.0,45,,130.0,,1,,,petition,0.0,6,2,,0.0,12,120.0,0.0,45,,120.0,,1,,,petition,0.0,7,2,,0.0,15,150.0,30.0,45,1,186.0,,1,3,0,petition,165.0,8,2,,0.0,13,130.0,35.0,45,1,125.0,,1,3,0,petition,75.0,9,2,,0.0,13,130.0,20.0,45,1,136.0,,1,3,0,petition,65.0,10,2,,0.0,15,150.0,30.0,45,1,148.0,,1,3,0,petition,70.0,11,2,,0.0,15,150.0,20.0,45,1,150.0,,1,3,0,petition,50.0,12,2,,0.0,15,150.0,30.0,45,1,146.0,,1,3,0,petition,65.0,13,2,,0.0,15,150.0,0.0,45,1,158.0,,1,3,0,petition,20.0,14,19,,0.0,0,0,0,0,0,1,0,I wanted to earn more points through cooperation,None of the above,3,4,2,4,2,3,2,4,1,1
20,re1bvtsn,8,0,143,143,questionnaire,ThankYou,2026-06-09 13:35:28.829410,1,,,18.84,roadblock,13,1781013205.033332,tdmddbpq,,,,,0,activism_pet_first,5.0,,,3,,0.0,12,120.0,0.0,45,,136.4,8,3,,,roadblock,41.0,1,3,,0.0,12,120.0,0.0,45,,137.2,,3,,,roadblock,43.0,2,3,,0.0,13,130.0,0.0,45,,148.8,,3,,,roadblock,47.0,3,3,,0.0,11,110.0,0.0,45,,123.6,,3,,,roadblock,34.0,4,3,,0.0,14,140.0,0.0,45,,152.4,,3,,,roadblock,31.0,5,3,,0.0,12,120.0,0.0,45,,133.2,,3,,,roadblock,33.0,6,3,,0.0,12,120.0,0.0,45,,136.0,,3,,,roadblock,40.0,7,3,,0.0,12,120.0,0.0,40,0,132.4,,3,2,2,roadblock,31.0,8,3,,0.0,13,130.0,0.0,40,0,142.0,,3,2,2,roadblock,30.0,9,3,,0.0,10,100.0,0.0,40,0,110.4,,3,1,1,roadblock,26.0,10,3,,0.0,13,130.0,0.0,40,0,138.4,,3,1,1,roadblock,21.0,11,3,,0.0,11,110.0,0.0,40,0,116.4,,3,1,1,roadblock,16.0,12,3,,0.0,12,120.0,0.0,40,0,125.6,,3,2,2,roadblock,14.0,13,3,,0.0,12,120.0,0.0,40,0,126.4,,3,2,2,roadblock,16.0,14,20,,0.0,0,0,0,0,1,0,0,,Petition (0 cost to you),3,3,2,5,2,4,4,1,1,1
21,amhitlg7,7,0,143,143,questionnaire,ThankYou,2026-06-09 13:35:29.127149,1,,,12.9,petition,14,1781013407.3076131,tdmddbpq,,,,,0,activism_pet_first,5.0,,,4,,0.0,6,60.0,40.0,45,,76.0,7,4,,,petition,140.0,1,4,,0.0,7,70.0,30.0,45,,116.0,,4,,,petition,190.0,2,4,,0.0,8,80.0,40.0,45,,88.0,,4,,,petition,120.0,3,4,,0.0,8,80.0,30.0,45,,106.0,,4,,,petition,140.0,4,4,,0.0,7,70.0,25.0,45,,99.0,,4,,,petition,135.0,5,4,,0.0,7,70.0,30.0,45,,72.0,,4,,,petition,80.0,6,4,,0.0,6,60.0,20.0,45,,74.0,,4,,,petition,85.0,7,4,,0.0,7,70.0,25.0,45,1,99.0,,4,4,0,petition,135.0,8,4,,0.0,5,50.0,20.0,45,1,72.0,,4,4,0,petition,105.0,9,4,,0.0,6,60.0,25.0,45,1,67.0,,4,4,0,petition,80.0,10,4,,0.0,7,70.0,30.0,45,1,68.0,,4,3,0,petition,70.0,11,4,,0.0,7,70.0,20.0,45,1,76.0,,4,3,0,petition,65.0,12,4,,0.0,7,70.0,30.0,45,1,80.0,,4,4,0,petition,100.0,13,4,,0.0,7,70.0,30.0,45,1,86.0,,4,4,0,petition,115.0,14,21,,0.0,1,0,1,0,0,1,0,,Petition (0 cost to you),3,3,3,4,4,3,4,2,1,1
22,nqzcesvm,11,0,76,143,activism,EffortTask,2026-06-09 13:35:29.522660,1,,,0.0,roadblock,,,tdmddbpq,,,,,0,activism_pet_first,5.0,,,2,,0.0,8,80.0,5.0,45,,141.0,11,6,,,roadblock,165.0,1,2,,0.0,6,60.0,0.0,45,,156.0,,6,,,roadblock,240.0,2,2,,0.0,6,60.0,6.0,45,,148.4,,6,,,roadblock,236.0,3,2,,0.0,8,80.0,5.0,45,,169.0,,6,,,roadblock,235.0,4,2,,0.0,8,80.0,3.0,45,,142.2,,6,,,roadblock,163.0,5,2,,0.0,5,50.0,50.0,45,,78.0,,6,,,roadblock,195.0,6,2,,0.0,8,80.0,0.0,45,,112.0,,6,,,roadblock,80.0,7,2,,0.0,,,,,1,,,6,2,2,roadblock,,8,2,,0.0,,,,,,,,6,,,roadblock,,9,2,,0.0,,,,,,,,6,,,roadblock,,10,2,,0.0,,,,,,,,6,,,roadblock,,11,2,,0.0,,,,,,,,6,,,roadblock,,12,2,,0.0,,,,,,,,6,,,roadblock,,13,2,,0.0,,,,,,,,6,,,roadblock,,14,22,,0.0,,,,,,,,,,,,,,,,,,1,1
23,t5bft775,3,0,58,143,activism,WaitForResults,2026-06-09 13:35:29.603915,1,,,0.0,demonstration,,,tdmddbpq,,,,,0,activism_pet_first,5.0,,,2,,0.0,9,90.0,0.0,45,,118.0,3,2,,,demonstration,70.0,1,2,,0.0,9,90.0,10.0,45,,104.0,,2,,,demonstration,60.0,2,2,,0.0,8,80.0,0.0,45,,100.0,,2,,,demonstration,50.0,3,2,,0.0,8,80.0,10.0,45,,86.0,,2,,,demonstration,40.0,4,2,,0.0,8,80.0,0.0,45,,96.0,,2,,,demonstration,40.0,5,2,,0.0,5,50.0,0.0,45,,,,2,,,demonstration,,6,2,,0.0,,,,45,,,,2,,,demonstration,,7,2,,0.0,,,,,,,,2,,,demonstration,,8,2,,0.0,,,,,,,,2,,,demonstration,,9,2,,0.0,,,,,,,,2,,,demonstration,,10,2,,0.0,,,,,,,,2,,,demonstration,,11,2,,0.0,,,,,,,,2,,,demonstration,,12,2,,0.0,,,,,,,,2,,,demonstration,,13,2,,0.0,,,,,,,,2,,,demonstration,,14,23,,0.0,,,,,,,,,,,,,,,,,,1,1
24,5axkw4ic,12,0,78,143,activism,WaitForResults,2026-06-09 13:35:30.935436,1,,,0.0,roadblock,,,tdmddbpq,,,,,0,activism_pet_first,5.0,,,4,,0.0,13,130.0,20.0,45,,176.0,12,6,,,roadblock,165.0,1,4,,0.0,14,140.0,20.0,45,,216.0,,6,,,roadblock,240.0,2,4,,0.0,13,130.0,10.0,45,,214.4,,6,,,roadblock,236.0,3,4,,0.0,13,130.0,10.0,45,,214.0,,6,,,roadblock,235.0,4,4,,0.0,11,110.0,0.0,45,,175.2,,6,,,roadblock,163.0,5,4,,0.0,13,130.0,10.0,45,,198.0,,6,,,roadblock,195.0,6,4,,0.0,13,130.0,10.0,45,,152.0,,6,,,roadblock,80.0,7,4,,0.0,10,100.0,10.0,40,0,,,6,2,2,roadblock,,8,4,,0.0,,,,,,,,6,,,roadblock,,9,4,,0.0,,,,,,,,6,,,roadblock,,10,4,,0.0,,,,,,,,6,,,roadblock,,11,4,,0.0,,,,,,,,6,,,roadblock,,12,4,,0.0,,,,,,,,6,,,roadblock,,13,4,,0.0,,,,,,,,6,,,roadblock,,14,24,,0.0,,,,,,,,,,,,,,,,,,1,1
25,83aftgm4,5,0,143,143,questionnaire,ThankYou,2026-06-09 13:35:32.213501,1,,,12.84,roadblock,13,1781013230.421401,tdmddbpq,,,,,0,activism_pet_first,5.0,,,4,,0.0,13,130.0,30.0,45,,116.4,5,3,,,roadblock,41.0,1,4,,0.0,14,140.0,30.0,45,,127.2,,3,,,roadblock,43.0,2,4,,0.0,15,150.0,30.0,45,,138.8,,3,,,roadblock,47.0,3,4,,0.0,10,100.0,20.0,45,,93.6,,3,,,roadblock,34.0,4,4,,0.0,13,130.0,30.0,45,,112.4,,3,,,roadblock,31.0,5,4,,0.0,15,150.0,30.0,45,,133.2,,3,,,roadblock,33.0,6,4,,0.0,12,120.0,20.0,45,,116.0,,3,,,roadblock,40.0,7,4,,0.0,10,100.0,20.0,35,1,92.4,,3,2,2,roadblock,31.0,8,4,,0.0,10,100.0,20.0,35,1,92.0,,3,2,2,roadblock,30.0,9,4,,0.0,12,120.0,20.0,40,0,110.4,,3,1,1,roadblock,26.0,10,4,,0.0,11,110.0,10.0,40,0,108.4,,3,1,1,roadblock,21.0,11,4,,0.0,11,110.0,10.0,40,0,106.4,,3,1,1,roadblock,16.0,12,4,,0.0,9,90.0,10.0,35,1,85.6,,3,2,2,roadblock,14.0,13,4,,0.0,11,110.0,10.0,35,1,106.4,,3,2,2,roadblock,16.0,14,25,,0.0,1,0,1,0,0,0,0,,Road blocking (Cost: -10 sec to you; -5 sec to others),4,3,2,4,4,4,4,2,1,1
