participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.treatment,participant.selected_round,participant.stopped_at,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.name,session.config.participation_fee,session.num_roadblockers,session.treatment,activism.1.player.id_in_group,activism.1.player.role,activism.1.player.payoff,activism.1.player.effort_score,activism.1.player.wage,activism.1.player.contribution,activism.1.player.actual_effort_time,activism.1.player.chose_activism,activism.1.player.round_payoff,activism.1.player.seat_number,activism.1.group.id_in_subsession,activism.1.group.num_activists,activism.1.group.num_roadblockers,activism.1.group.treatment,activism.1.subsession.round_number,activism.2.player.id_in_group,activism.2.player.role,activism.2.player.payoff,activism.2.player.effort_score,activism.2.player.wage,activism.2.player.contribution,activism.2.player.actual_effort_time,activism.2.player.chose_activism,activism.2.player.round_payoff,activism.2.player.seat_number,activism.2.group.id_in_subsession,activism.2.group.num_activists,activism.2.group.num_roadblockers,activism.2.group.treatment,activism.2.subsession.round_number,activism.3.player.id_in_group,activism.3.player.role,activism.3.player.payoff,activism.3.player.effort_score,activism.3.player.wage,activism.3.player.contribution,activism.3.player.actual_effort_time,activism.3.player.chose_activism,activism.3.player.round_payoff,activism.3.player.seat_number,activism.3.group.id_in_subsession,activism.3.group.num_activists,activism.3.group.num_roadblockers,activism.3.group.treatment,activism.3.subsession.round_number,activism.4.player.id_in_group,activism.4.player.role,activism.4.player.payoff,activism.4.player.effort_score,activism.4.player.wage,activism.4.player.contribution,activism.4.player.actual_effort_time,activism.4.player.chose_activism,activism.4.player.round_payoff,activism.4.player.seat_number,activism.4.group.id_in_subsession,activism.4.group.num_activists,activism.4.group.num_roadblockers,activism.4.group.treatment,activism.4.subsession.round_number,activism.5.player.id_in_group,activism.5.player.role,activism.5.player.payoff,activism.5.player.effort_score,activism.5.player.wage,activism.5.player.contribution,activism.5.player.actual_effort_time,activism.5.player.chose_activism,activism.5.player.round_payoff,activism.5.player.seat_number,activism.5.group.id_in_subsession,activism.5.group.num_activists,activism.5.group.num_roadblockers,activism.5.group.treatment,activism.5.subsession.round_number,activism.6.player.id_in_group,activism.6.player.role,activism.6.player.payoff,activism.6.player.effort_score,activism.6.player.wage,activism.6.player.contribution,activism.6.player.actual_effort_time,activism.6.player.chose_activism,activism.6.player.round_payoff,activism.6.player.seat_number,activism.6.group.id_in_subsession,activism.6.group.num_activists,activism.6.group.num_roadblockers,activism.6.group.treatment,activism.6.subsession.round_number,activism.7.player.id_in_group,activism.7.player.role,activism.7.player.payoff,activism.7.player.effort_score,activism.7.player.wage,activism.7.player.contribution,activism.7.player.actual_effort_time,activism.7.player.chose_activism,activism.7.player.round_payoff,activism.7.player.seat_number,activism.7.group.id_in_subsession,activism.7.group.num_activists,activism.7.group.num_roadblockers,activism.7.group.treatment,activism.7.subsession.round_number,activism.8.player.id_in_group,activism.8.player.role,activism.8.player.payoff,activism.8.player.effort_score,activism.8.player.wage,activism.8.player.contribution,activism.8.player.actual_effort_time,activism.8.player.chose_activism,activism.8.player.round_payoff,activism.8.player.seat_number,activism.8.group.id_in_subsession,activism.8.group.num_activists,activism.8.group.num_roadblockers,activism.8.group.treatment,activism.8.subsession.round_number,activism.9.player.id_in_group,activism.9.player.role,activism.9.player.payoff,activism.9.player.effort_score,activism.9.player.wage,activism.9.player.contribution,activism.9.player.actual_effort_time,activism.9.player.chose_activism,activism.9.player.round_payoff,activism.9.player.seat_number,activism.9.group.id_in_subsession,activism.9.group.num_activists,activism.9.group.num_roadblockers,activism.9.group.treatment,activism.9.subsession.round_number,activism.10.player.id_in_group,activism.10.player.role,activism.10.player.payoff,activism.10.player.effort_score,activism.10.player.wage,activism.10.player.contribution,activism.10.player.actual_effort_time,activism.10.player.chose_activism,activism.10.player.round_payoff,activism.10.player.seat_number,activism.10.group.id_in_subsession,activism.10.group.num_activists,activism.10.group.num_roadblockers,activism.10.group.treatment,activism.10.subsession.round_number,activism.11.player.id_in_group,activism.11.player.role,activism.11.player.payoff,activism.11.player.effort_score,activism.11.player.wage,activism.11.player.contribution,activism.11.player.actual_effort_time,activism.11.player.chose_activism,activism.11.player.round_payoff,activism.11.player.seat_number,activism.11.group.id_in_subsession,activism.11.group.num_activists,activism.11.group.num_roadblockers,activism.11.group.treatment,activism.11.subsession.round_number,activism.12.player.id_in_group,activism.12.player.role,activism.12.player.payoff,activism.12.player.effort_score,activism.12.player.wage,activism.12.player.contribution,activism.12.player.actual_effort_time,activism.12.player.chose_activism,activism.12.player.round_payoff,activism.12.player.seat_number,activism.12.group.id_in_subsession,activism.12.group.num_activists,activism.12.group.num_roadblockers,activism.12.group.treatment,activism.12.subsession.round_number,activism.13.player.id_in_group,activism.13.player.role,activism.13.player.payoff,activism.13.player.effort_score,activism.13.player.wage,activism.13.player.contribution,activism.13.player.actual_effort_time,activism.13.player.chose_activism,activism.13.player.round_payoff,activism.13.player.seat_number,activism.13.group.id_in_subsession,activism.13.group.num_activists,activism.13.group.num_roadblockers,activism.13.group.treatment,activism.13.subsession.round_number,activism.14.player.id_in_group,activism.14.player.role,activism.14.player.payoff,activism.14.player.effort_score,activism.14.player.wage,activism.14.player.contribution,activism.14.player.actual_effort_time,activism.14.player.chose_activism,activism.14.player.round_payoff,activism.14.player.seat_number,activism.14.group.id_in_subsession,activism.14.group.num_activists,activism.14.group.num_roadblockers,activism.14.group.treatment,activism.14.subsession.round_number,questionnaire.1.player.id_in_group,questionnaire.1.player.role,questionnaire.1.player.payoff,questionnaire.1.player.q1_support,questionnaire.1.player.q1_pressure,questionnaire.1.player.q1_convincing,questionnaire.1.player.q1_too_extreme,questionnaire.1.player.q1_no_earnings_effect,questionnaire.1.player.q1_reciprocate,questionnaire.1.player.q1_autonomy,questionnaire.1.player.q1_motivation_other,questionnaire.1.player.q2_activism_choice,questionnaire.1.player.q3_personal_cost,questionnaire.1.player.q4_cost_to_others,questionnaire.1.player.q5_extremity,questionnaire.1.player.q6_legitimacy,questionnaire.1.player.q7_social_id,questionnaire.1.player.q8_compassion,questionnaire.1.player.q8_sympathy,questionnaire.1.player.q8_annoyance,questionnaire.1.group.id_in_subsession,questionnaire.1.subsession.round_number
11,usmgmves,8,0,143,143,questionnaire,ThankYou,2026-06-09 08:45:00.682839,1,,,17.85,demonstration,7,1780995856.143494,ahosr93r,,,,,0,activism_pet_first,5.0,,,1,,0.0,8,80.0,30.0,45,,70.0,8,2,,,demonstration,1,1,,0.0,11,110.0,20.0,45,,110.0,,2,,,demonstration,2,1,,0.0,11,110.0,20.0,45,,104.0,,2,,,demonstration,3,1,,0.0,10,100.0,5.0,45,,105.0,,2,,,demonstration,4,1,,0.0,12,120.0,10.0,45,,122.0,,2,,,demonstration,5,1,,0.0,12,120.0,0.0,45,,128.0,,2,,,demonstration,6,1,,0.0,12,120.0,5.0,45,,119.0,,2,,,demonstration,7,1,,0.0,12,120.0,0.0,45,0,120.0,,2,0,0,demonstration,8,1,,0.0,11,110.0,0.0,45,0,110.0,,2,0,0,demonstration,9,1,,0.0,15,150.0,0.0,45,0,150.0,,2,0,0,demonstration,10,1,,0.0,15,150.0,0.0,45,0,150.0,,2,0,0,demonstration,11,1,,0.0,13,130.0,0.0,45,0,130.0,,2,0,0,demonstration,12,1,,0.0,12,120.0,0.0,45,0,120.0,,2,0,0,demonstration,13,1,,0.0,14,140.0,0.0,45,0,148.0,,2,1,0,demonstration,14,11,,0.0,0,0,0,1,0,0,0,taking away time did not seem like a good idea to me,Petition (0 cost to you),5,1,2,3,4,3,4,2,1,1
12,sp2jqls4,23,0,58,143,activism,WaitForResults,2026-06-09 08:45:00.705771,1,,,0.0,roadblock,,,ahosr93r,,,,,0,activism_pet_first,5.0,,,2,,0.0,13,130.0,130.0,45,,70.0,23,6,,,roadblock,1,2,,0.0,13,130.0,130.0,45,,96.0,,6,,,roadblock,2,2,,0.0,11,110.0,110.0,45,,90.0,,6,,,roadblock,3,2,,0.0,13,130.0,130.0,45,,108.0,,6,,,roadblock,4,2,,0.0,11,110.0,0.0,45,,150.0,,6,,,roadblock,5,2,,0.0,14,140.0,0.0,45,,,,6,,,roadblock,6,2,,0.0,,,,45,,,,6,,,roadblock,7,2,,0.0,,,,,,,,6,,,roadblock,8,2,,0.0,,,,,,,,6,,,roadblock,9,2,,0.0,,,,,,,,6,,,roadblock,10,2,,0.0,,,,,,,,6,,,roadblock,11,2,,0.0,,,,,,,,6,,,roadblock,12,2,,0.0,,,,,,,,6,,,roadblock,13,2,,0.0,,,,,,,,6,,,roadblock,14,12,,0.0,,,,,,,,,,,,,,,,,,1,1
13,ozjziflj,21,0,38,143,activism,WaitForResults,2026-06-09 08:45:00.717451,1,,,0.0,petition,,,ahosr93r,,,,,0,activism_pet_first,5.0,,,2,,0.0,11,110.0,25.0,45,,119.0,21,7,,,petition,1,2,,0.0,13,130.0,60.0,45,,126.0,,7,,,petition,2,2,,0.0,15,150.0,30.0,45,,158.0,,7,,,petition,3,2,,0.0,14,140.0,30.0,45,,,,7,,,petition,4,2,,0.0,,,,45,,,,7,,,petition,5,2,,0.0,,,,45,,,,7,,,petition,6,2,,0.0,,,,45,,,,7,,,petition,7,2,,0.0,,,,,,,,7,,,petition,8,2,,0.0,,,,,,,,7,,,petition,9,2,,0.0,,,,,,,,7,,,petition,10,2,,0.0,,,,,,,,7,,,petition,11,2,,0.0,,,,,,,,7,,,petition,12,2,,0.0,,,,,,,,7,,,petition,13,2,,0.0,,,,,,,,7,,,petition,14,13,,0.0,,,,,,,,,,,,,,,,,,1,1
14,nnn3u3ee,1,0,143,143,questionnaire,ThankYou,2026-06-09 08:45:00.881050,1,,,21.9,petition,6,1780995881.905714,ahosr93r,,,,,0,activism_pet_first,5.0,,,4,,0.0,5,50.0,20.0,45,,62.0,1,4,,,petition,1,4,,0.0,7,70.0,20.0,45,,102.0,,4,,,petition,2,4,,0.0,7,70.0,0.0,45,,118.0,,4,,,petition,3,4,,0.0,4,40.0,40.0,45,,62.0,,4,,,petition,4,4,,0.0,6,60.0,10.0,45,,96.0,,4,,,petition,5,4,,0.0,10,100.0,0.0,45,,146.0,,4,,,petition,6,4,,0.0,7,70.0,17.0,45,,81.8,,4,,,petition,7,4,,0.0,6,60.0,40.0,45,1,100.0,,4,4,,petition,8,4,,0.0,8,80.0,80.0,45,1,68.0,,4,4,0,petition,9,4,,0.0,9,90.0,30.0,45,1,116.0,,4,3,0,petition,10,4,,0.0,6,60.0,20.0,45,1,80.0,,4,2,0,petition,11,4,,0.0,9,90.0,50.0,45,1,88.0,,4,4,0,petition,12,4,,0.0,9,90.0,0.0,45,0,110.0,,4,1,0,petition,13,4,,0.0,10,100.0,40.0,45,1,96.0,,4,4,0,petition,14,14,,0.0,1,0,0,0,1,0,0,,Petition (0 cost to you),1,4,4,4,4,3,3,1,1,1
15,kzsxshpe,26,0,37,143,activism,Contribute,2026-06-09 08:45:00.892460,1,,,0.0,petition,,,ahosr93r,,,,,0,activism_pet_first,5.0,,,3,,0.0,5,50.0,15.0,45,,69.0,26,7,,,petition,1,3,,0.0,10,100.0,30.0,45,,126.0,,7,,,petition,2,3,,0.0,8,80.0,20.0,45,,,,7,,,petition,3,3,,0.0,0,0.0,,45,,,,7,,,petition,4,3,,0.0,,,,45,,,,7,,,petition,5,3,,0.0,,,,45,,,,7,,,petition,6,3,,0.0,,,,45,,,,7,,,petition,7,3,,0.0,,,,,,,,7,,,petition,8,3,,0.0,,,,,,,,7,,,petition,9,3,,0.0,,,,,,,,7,,,petition,10,3,,0.0,,,,,,,,7,,,petition,11,3,,0.0,,,,,,,,7,,,petition,12,3,,0.0,,,,,,,,7,,,petition,13,3,,0.0,,,,,,,,7,,,petition,14,15,,0.0,,,,,,,,,,,,,,,,,,1,1
16,1os08k1l,16,0,78,143,activism,WaitForResults,2026-06-09 08:45:00.970057,1,,,0.0,petition,,,ahosr93r,,,,,0,activism_pet_first,5.0,,,2,,0.0,6,60.0,60.0,45,,56.0,16,1,,,petition,1,2,,0.0,11,110.0,110.0,45,,88.0,,1,,,petition,2,2,,0.0,8,80.0,80.0,45,,76.0,,1,,,petition,3,2,,0.0,11,110.0,110.0,45,,88.0,,1,,,petition,4,2,,0.0,12,120.0,120.0,45,,96.0,,1,,,petition,5,2,,0.0,12,120.0,120.0,45,,112.0,,1,,,petition,6,2,,0.0,9,90.0,90.0,45,,98.0,,1,,,petition,7,2,,0.0,11,110.0,110.0,45,1,,,1,3,0,petition,8,2,,0.0,,,,,,,,1,,,petition,9,2,,0.0,,,,,,,,1,,,petition,10,2,,0.0,,,,,,,,1,,,petition,11,2,,0.0,,,,,,,,1,,,petition,12,2,,0.0,,,,,,,,1,,,petition,13,2,,0.0,,,,,,,,1,,,petition,14,16,,0.0,,,,,,,,,,,,,,,,,,1,1
17,zu7f4eup,13,0,143,143,questionnaire,ThankYou,2026-06-09 08:45:00.980261,1,,,14.1,demonstration,7,1780995869.1846795,ahosr93r,,,,,0,activism_pet_first,5.0,,,4,,0.0,7,70.0,0.0,45,,90.0,13,2,,,demonstration,1,4,,0.0,9,90.0,10.0,45,,100.0,,2,,,demonstration,2,4,,0.0,8,80.0,5.0,45,,89.0,,2,,,demonstration,3,4,,0.0,6,60.0,0.0,45,,70.0,,2,,,demonstration,4,4,,0.0,10,100.0,15.0,45,,97.0,,2,,,demonstration,5,4,,0.0,11,110.0,15.0,45,,103.0,,2,,,demonstration,6,4,,0.0,9,90.0,0.0,45,,94.0,,2,,,demonstration,7,4,,0.0,11,110.0,0.0,45,0,110.0,,2,0,0,demonstration,8,4,,0.0,11,110.0,0.0,45,0,110.0,,2,0,0,demonstration,9,4,,0.0,13,130.0,0.0,45,0,130.0,,2,0,0,demonstration,10,4,,0.0,12,120.0,0.0,45,0,120.0,,2,0,0,demonstration,11,4,,0.0,11,110.0,0.0,45,0,110.0,,2,0,0,demonstration,12,4,,0.0,11,110.0,0.0,45,0,110.0,,2,0,0,demonstration,13,4,,0.0,11,110.0,10.0,45,0,108.0,,2,1,0,demonstration,14,17,,0.0,0,0,0,0,0,0,0,"I am not interested, I dislike group projects",None of the above,5,2,3,3,4,3,3,3,1,1
18,vw2fpivq,4,0,38,143,activism,WaitForResults,2026-06-09 08:45:01.205107,1,,,0.0,petition,,,ahosr93r,,,,,0,activism_pet_first,5.0,,,1,,0.0,11,110.0,20.0,45,,124.0,4,7,,,petition,1,1,,0.0,10,100.0,20.0,45,,136.0,,7,,,petition,2,1,,0.0,11,110.0,20.0,45,,128.0,,7,,,petition,3,1,,0.0,11,110.0,20.0,45,,,,7,,,petition,4,1,,0.0,,,,45,,,,7,,,petition,5,1,,0.0,,,,45,,,,7,,,petition,6,1,,0.0,,,,45,,,,7,,,petition,7,1,,0.0,,,,,,,,7,,,petition,8,1,,0.0,,,,,,,,7,,,petition,9,1,,0.0,,,,,,,,7,,,petition,10,1,,0.0,,,,,,,,7,,,petition,11,1,,0.0,,,,,,,,7,,,petition,12,1,,0.0,,,,,,,,7,,,petition,13,1,,0.0,,,,,,,,7,,,petition,14,18,,0.0,,,,,,,,,,,,,,,,,,1,1
19,9mcj0ohn,17,0,143,143,questionnaire,ThankYou,2026-06-09 08:45:01.329408,1,,,20.1,demonstration,7,1780995819.0184488,ahosr93r,,,,,0,activism_pet_first,5.0,,,3,,0.0,12,120.0,0.0,45,,140.0,17,2,,,demonstration,1,3,,0.0,10,100.0,0.0,45,,120.0,,2,,,demonstration,2,3,,0.0,13,130.0,0.0,45,,144.0,,2,,,demonstration,3,3,,0.0,10,100.0,0.0,45,,110.0,,2,,,demonstration,4,3,,0.0,13,130.0,0.0,45,,142.0,,2,,,demonstration,5,3,,0.0,13,130.0,0.0,45,,138.0,,2,,,demonstration,6,3,,0.0,13,130.0,0.0,45,,134.0,,2,,,demonstration,7,3,,0.0,14,140.0,0.0,45,0,140.0,,2,0,0,demonstration,8,3,,0.0,12,120.0,0.0,45,0,120.0,,2,0,0,demonstration,9,3,,0.0,14,140.0,0.0,45,0,140.0,,2,0,0,demonstration,10,3,,0.0,15,150.0,0.0,45,0,150.0,,2,0,0,demonstration,11,3,,0.0,11,110.0,0.0,45,0,110.0,,2,0,0,demonstration,12,3,,0.0,10,100.0,0.0,45,0,100.0,,2,0,0,demonstration,13,3,,0.0,11,110.0,0.0,45,0,118.0,,2,1,0,demonstration,14,19,,0.0,0,0,0,0,1,0,0,,Petition (0 cost to you),3,1,1,3,3,1,1,1,1,1
20,ykenmho2,5,0,143,143,questionnaire,ThankYou,2026-06-09 08:45:01.509512,1,,,15.3,roadblock,6,1780995764.4184222,ahosr93r,,,,,0,activism_pet_first,5.0,,,2,,0.0,11,110.0,55.0,45,,101.0,5,3,,,roadblock,1,2,,0.0,12,120.0,60.0,45,,122.0,,3,,,roadblock,2,2,,0.0,11,110.0,0.0,45,,160.0,,3,,,roadblock,3,2,,0.0,12,120.0,60.0,45,,124.0,,3,,,roadblock,4,2,,0.0,14,140.0,0.0,45,,150.0,,3,,,roadblock,5,2,,0.0,13,130.0,60.0,45,,102.0,,3,,,roadblock,6,2,,0.0,11,110.0,0.0,45,,118.0,,3,,,roadblock,7,2,,0.0,10,100.0,100.0,35,1,64.0,,3,3,3,roadblock,8,2,,0.0,10,100.0,100.0,35,1,62.0,,3,4,4,roadblock,9,2,,0.0,12,120.0,120.0,35,1,78.0,,3,3,3,roadblock,10,2,,0.0,12,120.0,0.0,40,0,150.0,,3,3,3,roadblock,11,2,,0.0,12,120.0,0.0,40,0,124.0,,3,2,2,roadblock,12,2,,0.0,10,100.0,0.0,40,0,106.0,,3,2,2,roadblock,13,2,,0.0,12,120.0,0.0,40,0,125.2,,3,2,2,roadblock,14,20,,0.0,1,0,0,0,0,0,0,I wanted to put the money in a pot but hardly anyone else participated so it was no good deal for me in the end.,Petition (0 cost to you),3,4,2,3,2,2,2,3,1,1
21,ju6xezrw,2,0,143,143,questionnaire,ThankYou,2026-06-09 08:45:01.720698,1,,,19.35,demonstration,2,1780995842.3669357,ahosr93r,,,,,0,activism_pet_first,5.0,,,2,,0.0,7,70.0,10.0,45,,88.8,2,5,,,demonstration,1,2,,0.0,10,100.0,25.0,45,,129.0,,5,,,demonstration,2,2,,0.0,11,110.0,30.0,45,,168.0,,5,,,demonstration,3,2,,0.0,11,110.0,34.0,45,,161.6,,5,,,demonstration,4,2,,0.0,12,120.0,40.0,45,,140.0,,5,,,demonstration,5,2,,0.0,14,140.0,40.0,45,,196.0,,5,,,demonstration,6,2,,0.0,14,140.0,50.0,45,,154.0,,5,,,demonstration,7,2,,0.0,8,80.0,10.0,45,0,104.0,,5,1,0,demonstration,8,2,,0.0,9,90.0,20.0,45,0,134.0,,5,1,0,demonstration,9,2,,0.0,14,140.0,25.0,45,0,149.0,,5,0,0,demonstration,10,2,,0.0,11,110.0,28.0,45,0,93.2,,5,0,0,demonstration,11,2,,0.0,10,100.0,20.0,45,0,88.0,,5,0,0,demonstration,12,2,,0.0,12,120.0,10.0,45,0,114.0,,5,0,0,demonstration,13,2,,0.0,14,140.0,5.0,45,0,137.0,,5,0,0,demonstration,14,21,,0.0,0,0,0,0,0,0,1,,Petition (0 cost to you),5,4,3,3,2,3,4,2,1,1
22,odojvl0k,18,0,143,143,questionnaire,ThankYou,2026-06-09 08:45:02.175733,1,,,4.35,demonstration,7,1780995898.76812,ahosr93r,,,,,0,activism_pet_first,5.0,,,2,,0.0,4,40.0,20.0,45,,40.0,18,2,,,demonstration,1,2,,0.0,6,60.0,20.0,45,,60.0,,2,,,demonstration,2,2,,0.0,6,60.0,10.0,45,,64.0,,2,,,demonstration,3,2,,0.0,6,60.0,20.0,45,,50.0,,2,,,demonstration,4,2,,0.0,7,70.0,5.0,45,,77.0,,2,,,demonstration,5,2,,0.0,9,90.0,5.0,45,,93.0,,2,,,demonstration,6,2,,0.0,3,30.0,5.0,45,,29.0,,2,,,demonstration,7,2,,0.0,4,40.0,0.0,45,0,40.0,,2,0,0,demonstration,8,2,,0.0,5,50.0,0.0,45,0,50.0,,2,0,0,demonstration,9,2,,0.0,9,90.0,0.0,45,0,90.0,,2,0,0,demonstration,10,2,,0.0,9,90.0,0.0,45,0,90.0,,2,0,0,demonstration,11,2,,0.0,8,80.0,0.0,45,0,80.0,,2,0,0,demonstration,12,2,,0.0,8,80.0,0.0,45,0,80.0,,2,0,0,demonstration,13,2,,0.0,5,50.0,10.0,35,1,48.0,,2,1,0,demonstration,14,22,,0.0,0,0,0,0,1,0,0,Not regarding that but sometimes the numbers got changed to an incorrect number,Petition (0 cost to you),4,2,4,4,4,3,3,3,1,1
23,lbjc7cyh,10,0,143,143,questionnaire,ThankYou,2026-06-09 08:45:02.360429,1,,,16.8,roadblock,6,1780995748.9742882,ahosr93r,,,,,0,activism_pet_first,5.0,,,3,,0.0,5,50.0,10.0,45,,86.0,10,3,,,roadblock,1,3,,0.0,6,60.0,10.0,45,,112.0,,3,,,roadblock,2,3,,0.0,7,70.0,10.0,45,,110.0,,3,,,roadblock,3,3,,0.0,8,80.0,10.0,45,,134.0,,3,,,roadblock,4,3,,0.0,9,90.0,10.0,45,,90.0,,3,,,roadblock,5,3,,0.0,9,90.0,10.0,45,,112.0,,3,,,roadblock,6,3,,0.0,4,40.0,10.0,45,,38.0,,3,,,roadblock,7,3,,0.0,6,60.0,10.0,35,1,114.0,,3,3,3,roadblock,8,3,,0.0,2,20.0,10.0,35,1,72.0,,3,4,4,roadblock,9,3,,0.0,5,50.0,5.0,35,1,123.0,,3,3,3,roadblock,10,3,,0.0,6,60.0,10.0,35,1,80.0,,3,3,3,roadblock,11,3,,0.0,5,50.0,5.0,35,1,49.0,,3,2,2,roadblock,12,3,,0.0,8,80.0,5.0,35,1,81.0,,3,2,2,roadblock,13,3,,0.0,6,60.0,10.0,35,1,55.2,,3,2,2,roadblock,14,23,,0.0,1,0,0,0,0,0,0,,Petition (0 cost to you),4,2,2,2,2,3,3,3,1,1
24,iircdrz3,20,0,143,143,questionnaire,ThankYou,2026-06-09 08:45:03.388544,1,,,27.6,demonstration,2,1780995847.0544026,ahosr93r,,,,,0,activism_pet_first,5.0,,,4,,0.0,10,100.0,0.0,45,,128.8,20,5,,,demonstration,1,4,,0.0,13,130.0,0.0,45,,184.0,,5,,,demonstration,2,4,,0.0,13,130.0,30.0,45,,188.0,,5,,,demonstration,3,4,,0.0,13,130.0,20.0,45,,195.6,,5,,,demonstration,4,4,,0.0,14,140.0,40.0,45,,160.0,,5,,,demonstration,5,4,,0.0,15,150.0,40.0,45,,206.0,,5,,,demonstration,6,4,,0.0,13,130.0,0.0,45,,194.0,,5,,,demonstration,7,4,,0.0,15,150.0,15.0,45,0,169.0,,5,1,0,demonstration,8,4,,0.0,13,130.0,10.0,45,0,184.0,,5,1,0,demonstration,9,4,,0.0,13,130.0,0.0,45,0,164.0,,5,0,0,demonstration,10,4,,0.0,13,130.0,0.0,45,0,141.2,,5,0,0,demonstration,11,4,,0.0,13,130.0,0.0,45,0,138.0,,5,0,0,demonstration,12,4,,0.0,15,150.0,0.0,45,0,154.0,,5,0,0,demonstration,13,4,,0.0,14,140.0,0.0,45,0,142.0,,5,0,0,demonstration,14,24,,0.0,0,0,0,1,1,0,1,,Petition (0 cost to you),5,3,2,2,2,4,2,3,1,1
25,1yv42yer,28,0,143,143,questionnaire,ThankYou,2026-06-09 08:45:03.554282,1,,,23.4,petition,6,1780995815.6088548,ahosr93r,,,,,0,activism_pet_first,5.0,,,2,,0.0,13,130.0,20.0,45,,142.0,28,4,,,petition,1,2,,0.0,13,130.0,30.0,45,,152.0,,4,,,petition,2,2,,0.0,12,120.0,40.0,45,,128.0,,4,,,petition,3,2,,0.0,12,120.0,30.0,45,,152.0,,4,,,petition,4,2,,0.0,14,140.0,30.0,45,,156.0,,4,,,petition,5,2,,0.0,14,140.0,30.0,45,,156.0,,4,,,petition,6,2,,0.0,13,130.0,30.0,45,,128.8,,4,,,petition,7,2,,0.0,12,120.0,40.0,45,1,160.0,,4,4,,petition,8,2,,0.0,12,120.0,50.0,45,1,138.0,,4,4,0,petition,9,2,,0.0,15,150.0,40.0,45,1,166.0,,4,3,0,petition,10,2,,0.0,15,150.0,50.0,45,1,140.0,,4,2,0,petition,11,2,,0.0,12,120.0,30.0,45,1,138.0,,4,4,0,petition,12,2,,0.0,13,130.0,30.0,45,1,120.0,,4,1,0,petition,13,2,,0.0,14,140.0,30.0,45,1,146.0,,4,4,0,petition,14,25,,0.0,1,1,0,0,1,1,0,,Petition (0 cost to you),1,1,1,5,4,1,3,2,1,1
26,zy9e5vmk,3,0,143,143,questionnaire,ThankYou,2026-06-09 08:45:03.649189,1,,,18.3,roadblock,6,1780995708.2570539,ahosr93r,,,,,0,activism_pet_first,5.0,,,1,,0.0,9,90.0,30.0,45,,106.0,3,3,,,roadblock,1,1,,0.0,10,100.0,50.0,45,,112.0,,3,,,roadblock,2,1,,0.0,8,80.0,80.0,45,,50.0,,3,,,roadblock,3,1,,0.0,11,110.0,80.0,45,,94.0,,3,,,roadblock,4,1,,0.0,10,100.0,0.0,45,,110.0,,3,,,roadblock,5,1,,0.0,9,90.0,0.0,45,,122.0,,3,,,roadblock,6,1,,0.0,10,100.0,0.0,45,,108.0,,3,,,roadblock,7,1,,0.0,11,110.0,40.0,40,0,134.0,,3,3,3,roadblock,8,1,,0.0,9,90.0,40.0,35,1,112.0,,3,4,4,roadblock,9,1,,0.0,12,120.0,60.0,35,1,138.0,,3,3,3,roadblock,10,1,,0.0,12,120.0,60.0,35,1,90.0,,3,3,3,roadblock,11,1,,0.0,11,110.0,0.0,35,1,114.0,,3,2,2,roadblock,12,1,,0.0,11,110.0,0.0,40,0,116.0,,3,2,2,roadblock,13,1,,0.0,10,100.0,0.0,40,0,105.2,,3,2,2,roadblock,14,26,,0.0,0,1,0,1,0,0,0,,None of the above,5,4,5,3,3,4,4,2,1,1
27,wlo53l7c,11,0,58,143,activism,WaitForResults,2026-06-09 08:45:03.947866,1,,,0.0,roadblock,,,ahosr93r,,,,,0,activism_pet_first,5.0,,,4,,0.0,8,80.0,15.0,45,,135.0,11,6,,,roadblock,1,4,,0.0,8,80.0,30.0,45,,146.0,,6,,,roadblock,2,4,,0.0,7,70.0,70.0,45,,90.0,,6,,,roadblock,3,4,,0.0,8,80.0,80.0,45,,108.0,,6,,,roadblock,4,4,,0.0,8,80.0,80.0,45,,40.0,,6,,,roadblock,5,4,,0.0,12,120.0,20.0,45,,,,6,,,roadblock,6,4,,0.0,,,,45,,,,6,,,roadblock,7,4,,0.0,,,,,,,,6,,,roadblock,8,4,,0.0,,,,,,,,6,,,roadblock,9,4,,0.0,,,,,,,,6,,,roadblock,10,4,,0.0,,,,,,,,6,,,roadblock,11,4,,0.0,,,,,,,,6,,,roadblock,12,4,,0.0,,,,,,,,6,,,roadblock,13,4,,0.0,,,,,,,,6,,,roadblock,14,27,,0.0,,,,,,,,,,,,,,,,,,1,1
